331,654,985,1
131,670,801,2
120,1229,1349,3
108,1454,1562,4
82,1518,1600,5
88,1518,1606,6
148,1362,1510,7
68,891,959,8
54,768,822,9
41,1280,1321,10
43,1220,1263,11
25,1137,1162,12
38,1368,1406,13
54,1367,1421,14
222,1026,1248,15
251,953,1204,16
117,883,1000,17
9,674,683,18
78,1572,1650,19
83,1844,1927,20
75,1468,1543,21
93,888,981,22
150,836,986,23
86,1330,1416,24
186,1799,1985,25
34,472,506,26
15,416,431,27
38,1129,1167,28
123,975,1098,29
140,956,1096,30
42,1459,1501,31
47,1313,1360,32
72,1454,1526,33
61,1489,1550,34
88,1620,1708,35
100,905,1005,36
354,1269,1623,37
120,1592,1712,38
64,1466,1530,39
53,1552,1605,40
47,1491,1538,41
149,1597,1746,42
288,1184,1472,43
397,1192,1589,44
208,1705,1913,45
140,1675,1815,46
218,1897,2115,47
259,2216,2475,48
579,2348,2927,49
532,1103,1635,50
639,1173,1812,51
195,912,1107,52
74,1376,1450,53
139,1778,1917,54
100,1707,1807,55
120,1341,1461,56
424,1545,1969,57
694,1708,2402,58
81,1365,1446,59
137,1714,1851,60
231,1903,2134,61
123,1562,1685,62
214,1730,1944,63
640,1437,2077,64
114,491,605,65
244,1628,1872,66
316,1817,2133,67
191,1700,1891,68
46,577,623,69
247,1730,1977,70
724,1408,2132,71
982,1435,2417,72
359,1687,2046,73
289,1767,2056,74
321,1871,2192,75
424,2320,2744,76
884,2355,3239,77
1424,1693,3117,78
1047,1424,2471,79
401,1676,2077,80
460,2243,2703,81
203,1918,2121,82
166,1699,1865,83
300,1910,2210,84
981,1515,2496,85
472,1221,1693,86
222,1806,2028,87
317,2108,2425,88
168,1368,1536,89
179,1506,1685,90
307,1920,2227,91
898,1354,2252,92
1651,1598,3249,93
734,2381,3115,94
167,1628,1795,95
413,2395,2808,96
571,2570,3141,97
172,1299,1471,98
879,1576,2455,99
1188,1707,2895,100
855,2493,3348,101
257,1777,2034,102
209,1953,2162,103
529,2738,3267,104
642,2484,3126,105
121,674,795,106
1558,2186,3744,107
669,2760,3429,108
409,2795,3204,109
613,3331,3944,110
745,3444,4189,111
177,1506,1683,112
1462,2574,4036,113
1710,2481,4191,114
773,3300,4073,115
678,3722,4400,116
547,3325,3872,117
569,3489,4058,118
878,3717,4595,119
1965,3347,5312,120
1138,2213,3351,121
